dataset	sample	mode	ref_label	status	elapsed_sec	error	run_dir
TSM20260826	293T-E4	A	self	ok	0.83	""	tmp/test_results/r/test_run_win/TSM20260826/293T-E4/mode_A/self
TSM20260826	293T-E4	B	self	ok	2.96	""	tmp/test_results/r/test_run_win/TSM20260826/293T-E4/mode_B/self
TSM20260826	293T-E4	C	self	ok	0.04	""	tmp/test_results/r/test_run_win/TSM20260826/293T-E4/mode_C/self
TSM20260826	293T-G2	A	self	ok	0.48	""	tmp/test_results/r/test_run_win/TSM20260826/293T-G2/mode_A/self
TSM20260826	293T-G2	B	self	ok	1.59	""	tmp/test_results/r/test_run_win/TSM20260826/293T-G2/mode_B/self
TSM20260826	293T-G2	C	self	ok	0.04	""	tmp/test_results/r/test_run_win/TSM20260826/293T-G2/mode_C/self
TSM20260826	E4-19	A	self	ok	0.56	""	tmp/test_results/r/test_run_win/TSM20260826/E4-19/mode_A/self
TSM20260826	E4-19	A	wt	ok	0.43	""	tmp/test_results/r/test_run_win/TSM20260826/E4-19/mode_A/wt
TSM20260826	E4-19	B	self	ok	1.39	""	tmp/test_results/r/test_run_win/TSM20260826/E4-19/mode_B/self
TSM20260826	E4-19	B	wt	ok	2.63	""	tmp/test_results/r/test_run_win/TSM20260826/E4-19/mode_B/wt
TSM20260826	E4-19	C	self	ok	0.04	""	tmp/test_results/r/test_run_win/TSM20260826/E4-19/mode_C/self
TSM20260826	E4-19	C	wt	ok	0.04	""	tmp/test_results/r/test_run_win/TSM20260826/E4-19/mode_C/wt
TSM20260826	E4-3	A	self	ok	0.64	""	tmp/test_results/r/test_run_win/TSM20260826/E4-3/mode_A/self
TSM20260826	E4-3	A	wt	ok	0.64	""	tmp/test_results/r/test_run_win/TSM20260826/E4-3/mode_A/wt
TSM20260826	E4-3	B	self	ok	5.49	""	tmp/test_results/r/test_run_win/TSM20260826/E4-3/mode_B/self
TSM20260826	E4-3	B	wt	ok	5.61	""	tmp/test_results/r/test_run_win/TSM20260826/E4-3/mode_B/wt
TSM20260826	E4-3	C	self	ok	0.2	""	tmp/test_results/r/test_run_win/TSM20260826/E4-3/mode_C/self
TSM20260826	E4-3	C	wt	ok	0.04	""	tmp/test_results/r/test_run_win/TSM20260826/E4-3/mode_C/wt
TSM20260826	E4-9	A	self	ok	0.57	""	tmp/test_results/r/test_run_win/TSM20260826/E4-9/mode_A/self
TSM20260826	E4-9	A	wt	ok	0.55	""	tmp/test_results/r/test_run_win/TSM20260826/E4-9/mode_A/wt
TSM20260826	E4-9	B	self	ok	3.89	""	tmp/test_results/r/test_run_win/TSM20260826/E4-9/mode_B/self
TSM20260826	E4-9	B	wt	ok	4.14	""	tmp/test_results/r/test_run_win/TSM20260826/E4-9/mode_B/wt
TSM20260826	E4-9	C	self	ok	0.05	""	tmp/test_results/r/test_run_win/TSM20260826/E4-9/mode_C/self
